"RECIPE_ID","WEIGHT","FAT","CARBO","PROTEIN"
"2786","277.5","2.7875","5.0625","0.5"
"2787","1067.85","25.5525","261.145","71.945"
"2788","1152.5","160.7371625","233.69400000000002","64.4705"
"2789","1548.75","83.29158","405.8635","102.55550000000001"
"2790","1979.85","41.912157500000006","379.52254500000004","153.58825499999998"
"2791","2160.0","94.44915","250.81575000000004","68.58475"
"2792","1390.0","2.778245","572.746","113.1755"
"2793","1490.0","18.48365","527.55","100.29"
"2794","1984.7","51.42342000000001","634.8054999999999","152.75560000000002"
"2795","2216.85","94.3408925","419.455295","165.69725499999998"
"2796","1363.0","28.673315","324.065","92.24125000000001"
"2797","1978.75","46.96505","222.708","179.34199999999998"
"2798","1105.0","117.58760000000001","252.73775","107.28999999999999"
"2799","808.1","11.5495875","255.766095","85.16203999999999"
"2800","1842.75","40.641557500000005","554.202875","192.78987500000002"
"2801","1793.0","106.50798999999998","285.07050000000004","105.315"
"2802","1015.0","38.38575","437.4735","67.999"
"2803","2545.0","278.3772200000001","170.264","312.04"
"2804","2219.35","64.764695","438.62724000000003","148.04970999999998"
"2805","3839.75","127.82824500000001","447.79049999999995","127.63699999999999"
"2806","1302.5","29.7178125","307.3","98.0375"
"2807","1186.25","68.21379999999999","308.800125","52.312625000000004"
"2808","41.25","3.4893224999999997","19.55325","4.614599999999999"
"2809","2561.75","84.085255","509.67100000000005","307.54275"
"2810","1207.5","319.54875000000004","185.853","90.0995"
"2811","1298.0","53.029849999999996","133.97050000000002","222.3195"
"2812","1365.0","54.8949","430.59849999999994","86.8965"
"2813","1747.5","48.090025","490.46475","89.75275"
"2814","3490.75","178.8782","418.2375","291.286"
"2815","500.0","0.0","87.0","6.5"
"2816","855.0","5.875","121.6235","30.238"
"2817","1873.1","151.12915","70.9028","269.0593"
"2818","1753.0","95.73758750000002","188.46537500000002","177.565875"
"2819","1455.0","32.7","655.675","87.7"
"2820","410.6","24.61821875","220.21993","56.529195"
"2821","1517.5","39.311612499999995","479.1555","102.23449999999998"
"2822","1118.6","25.136136749999995","103.75493","41.964195000000004"
"2823","1030.0","25.356450000000002","146.025","20.462000000000003"
"2824","163.75","0.0","0.375","20.78"
"2825","45.0","1.8021224999999998","13.355500000000003","3.37485"
"2826","1787.5","76.0627","121.77925","81.7985"
"2827","4526.5","194.72480000000002","425.908","325.33950000000004"
"2828","1046.0","1.8539500000000002","43.56","8.647"
"2829","2005.0","87.25","643.85","100.765"
"2830","1542.5","36.671156249999996","632.7412499999999","155.501125"
"2831","3885.85","133.72049","998.54215","169.30515"
"2832","3000.0","100.2","525.0","30.0"
"2833","2204.0","67.3984","589.5229999999999","231.08749999999998"
"2834","1892.0","58.08437500000001","231.6825","125.92749999999998"
"2835","7595.0","146.58225","2634.5102500000003","807.867"
"2836","403.25","6.30135","149.046625","29.091375"
"2837","700.0","0.0","206.13","94.47"
"2838","1296.0","20.7699","113.544","59.797"
"2839","4075.0","275.73","185.67000000000002","332.555"
"2840","2775.0","76.20394999999999","301.75000000000006","161.41699999999997"
"2841","3525.0","62.198685","1537.55","338.5321"
"2842","930.0","60.41395","52.18000000000001","95.287"
"2843","1620.0","49.7186375","156.334","79.21205"
"2844","1225.0","97.075","20.1","189.15"
"2845","1226.2","98.381885","54.8091","160.1627"
"2846","2053.0","169.3086375","173.72850000000003","222.14150000000004"
