id,source_id,food_id,orig_content,unit,quantity_ref
368,1,503,2100.0,mg,100
371,1,510,2614.0,mg,100
372,1,518,2926.0,mg,100
375,1,519,600.0,mg,100
376,1,520,20000.0,mg,100
378,1,521,5985.0,mg,100
382,1,536,74450.0,mg,100
383,1,553,1846.1,mg,100
385,1,558,725.0,mg,100
387,1,802,64000.0,mg,100
388,1,813,4429.0,mg,100
389,1,880,700.0,mg,100
394,1,881,1732.45,mg,100
396,2,2,2000.0,mg,100
398,2,4,1000.0,mg,100
403,2,5,1600.0,mg,100
430,2,6,8647.0,mg,100
432,2,7,1900.0,mg,100
434,2,8,16800.0,mg,100
440,2,9,2400.0,mg,100
445,2,11,15300.0,mg,100
459,2,12,400.0,mg,100
480,2,13,20000.0,mg,100
489,2,14,1700.0,mg,100
491,2,15,700.0,mg,100
505,2,16,25800.0,mg,100
546,2,17,1530.0,mg,100
551,2,18,7700.0,mg,100
556,2,19,22770.0,mg,100
560,2,20,23072.5,mg,100
562,2,21,1900.0,mg,100
581,2,22,13900.0,mg,100
596,2,23,1000.0,mg,100
600,2,24,15000.0,mg,100
604,2,25,1610.0,mg,100
615,2,26,1800.0,mg,100
620,2,27,2700.0,mg,100
628,2,28,1000.0,mg,100
633,2,29,0.0,mg,100
637,2,30,1000.0,mg,100
662,2,31,2400.0,mg,100
679,2,32,3300.0,mg,100
694,2,33,1700.0,mg,100
700,2,34,2400.0,mg,100
719,2,35,1300.0,mg,100
722,2,36,600.0,mg,100
741,2,37,7200.0,mg,100
751,2,38,19600.0,mg,100
776,2,39,2360.0,mg,100
779,2,40,900.0,mg,100
828,2,41,700.0,mg,100
836,2,42,0.0,mg,100
847,2,43,19770.0,mg,100
849,2,44,9200.0,mg,100
860,2,45,2000.0,mg,100
862,2,46,11500.0,mg,100
863,2,47,20400.0,mg,100
873,2,48,1300.0,mg,100
879,2,49,1400.0,mg,100
889,2,50,3990.0,mg,100
891,2,51,3900.0,mg,100
892,2,52,800.0,mg,100
898,2,53,700.0,mg,100
901,2,54,400.0,mg,100
913,2,55,760.0,mg,100
914,2,56,500.0,mg,100
928,2,57,500.0,mg,100
949,2,58,14600.0,mg,100
974,2,59,9900.0,mg,100
976,2,61,12400.0,mg,100
987,2,62,16550.0,mg,100
988,2,63,11430.0,mg,100
990,2,64,800.0,mg,100
1003,2,65,500.0,mg,100
1024,2,66,400.0,mg,100
1077,2,67,17810.0,mg,100
1079,2,68,7830.0,mg,100
1082,2,69,400.0,mg,100
1086,2,70,1820.0,mg,100
1088,2,71,3300.0,mg,100
1096,2,245,1000.0,mg,100
1121,2,72,8900.0,mg,100
1122,2,73,580.0,mg,100
1124,2,74,10760.0,mg,100
1127,2,76,400.0,mg,100
1131,2,77,2580.0,mg,100
1133,2,79,6600.0,mg,100
1144,2,81,3300.0,mg,100
1159,2,82,15800.0,mg,100
1167,2,83,500.0,mg,100
1188,2,85,35800.0,mg,100
1239,2,86,0.0,mg,100
1259,2,87,1200.0,mg,100
1261,2,88,9200.0,mg,100
1275,2,91,2600.0,mg,100
1279,2,92,1300.0,mg,100
1299,2,93,24060.0,mg,100
1302,2,94,15230.0,mg,100
1304,2,95,1300.0,mg,100
1319,2,97,7610.0,mg,100
1320,2,98,25100.0,mg,100
1337,2,99,2800.0,mg,100
1344,2,100,20000.0,mg,100
1345,2,101,0.0,mg,100
1354,2,103,800.0,mg,100
1358,2,105,500.0,mg,100
1397,2,106,500.0,mg,100
1404,2,108,29300.0,mg,100
1405,2,112,3290.0,mg,100
1408,2,113,3750.0,mg,100
1411,2,115,5300.0,mg,100
1419,2,117,1440.0,mg,100
1420,2,118,5800.0,mg,100
1427,2,119,22980.0,mg,100
1431,2,120,16302.7,mg,100
1432,2,121,0.0,mg,100
1447,2,122,12660.0,mg,100
1449,2,124,9000.0,mg,100
1451,2,125,13400.0,mg,100
1503,2,126,12100.0,mg,100
1511,2,127,18000.0,mg,100
1514,2,128,2200.0,mg,100
1521,2,129,2100.0,mg,100
1528,2,130,1900.0,mg,100
1535,2,131,2300.0,mg,100
1544,2,132,11900.0,mg,100
1546,2,133,6840.0,mg,100
1568,2,134,3000.0,mg,100
1687,2,135,2000.0,mg,100
1693,2,137,17600.0,mg,100
1695,2,138,13700.0,mg,100
1699,2,139,11000.0,mg,100
1704,2,140,20600.0,mg,100
1712,2,141,5900.0,mg,100
1749,2,142,1300.0,mg,100
1753,2,143,500.0,mg,100
1762,2,144,500.0,mg,100
1790,2,145,1060.0,mg,100
1798,2,146,1000.0,mg,100
1805,2,147,500.0,mg,100
1827,2,148,20500.0,mg,100
1841,2,149,500.0,mg,100
1867,2,150,900.0,mg,100
1874,2,151,1000.0,mg,100
1880,2,152,300.0,mg,100
1900,2,153,800.0,mg,100
1910,2,154,900.0,mg,100
1919,2,155,600.0,mg,100
1932,2,156,200.0,mg,100
1942,2,157,900.0,mg,100
1947,2,158,1700.0,mg,100
1951,2,159,4880.0,mg,100
1954,2,160,1200.0,mg,100
1975,2,161,2400.0,mg,100
1976,2,162,830.0,mg,100
1980,2,164,2000.0,mg,100
1983,2,165,10630.0,mg,100
1986,2,166,2500.0,mg,100
1988,2,167,6730.0,mg,100
1991,2,169,8800.0,mg,100
2007,2,170,0.0,mg,100
2030,2,171,4300.0,mg,100
2068,2,173,7886.25,mg,100
2069,2,174,900.0,mg,100
2077,2,175,4900.0,mg,100
2184,2,177,11300.0,mg,100
2186,2,178,2100.0,mg,100
2200,2,179,5970.0,mg,100
2202,2,180,2800.0,mg,100
2211,2,181,3000.0,mg,100
2218,2,182,2028.5,mg,100
2220,2,183,9110.0,mg,100
2224,2,184,7450.0,mg,100
2226,2,186,23000.0,mg,100
2228,2,187,15400.0,mg,100
2235,2,188,400.0,mg,100
2250,2,191,2562.0,mg,100
2251,2,192,390.0,mg,100
2256,2,193,700.0,mg,100
2259,2,194,200.0,mg,100
2264,2,195,60.0,mg,100
2265,2,197,5600.0,mg,100
2275,2,198,10000.0,mg,100
2283,2,199,25210.0,mg,100
2289,2,200,3000.0,mg,100
2303,2,202,3300.0,mg,100
2309,2,203,810.0,mg,100
2310,2,204,4080.0,mg,100
2319,2,205,6800.0,mg,100
2407,2,206,1800.0,mg,100
2412,2,208,1300.0,mg,100
2416,2,214,1800.0,mg,100
2418,2,224,1310.0,mg,100
2420,2,229,1100.0,mg,100
